"x:107y:320"
"x:112y:307"
"x:117y:286"
"x:118y:279"
"x:119y:276"
"x:121y:263"
"x:128y:219"
"x:129y:211"
"x:129y:216"
"x:132y:191"
"x:132y:198"
"x:136y:168"
"x:136y:173"
"x:138y:159"
"x:138y:160"
"x:139y:151"
"x:140y:149"
"x:142y:137"
"x:142y:141"
"x:143y:133"
"x:143y:136"
"x:145y:125"
"x:145y:126"
"x:146y:124"
"x:149y:110"
"x:149y:113"
"x:152y:102"
"x:152y:103"
"x:155y:95"
"x:156y:94"
"x:157y:91"
"x:159y:89"
"x:161y:86"
"x:164y:84"
"x:170y:84"
"x:173y:85"
"x:177y:89"
"x:178y:90"
"x:179y:91"
"x:184y:98"
"x:185y:99"
"x:194y:113"
"x:198y:122"
"x:199y:123"
"x:201y:126"
"x:204y:132"
"x:206y:136"
"x:212y:149"
"x:219y:160"
"x:220y:163"
"x:225y:172"
"x:227y:176"
"x:230y:180"
"x:234y:188"
"x:237y:193"
"x:239y:196"
"x:240y:198"
"x:241y:199"
"x:246y:206"
"x:248y:209"
"x:251y:214"
"x:253y:216"
"x:261y:227"
"x:270y:237"
"x:276y:243"
"x:288y:254"
"x:294y:259"
"x:306y:268"
"x:312y:272"
"x:316y:275"
"x:330y:282"
"x:333y:284"
"x:337y:286"
"x:340y:287"
"x:345y:289"
"x:353y:293"
"x:355y:293"
"x:360y:295"
"x:368y:298"
"x:369y:298"
"x:377y:300"
"x:391y:304"
"x:401y:306"
"x:404y:307"
"x:418y:310"
"x:421y:310"
"x:429y:311"
"x:435y:312"
"x:457y:105"
"x:458y:105"
"x:459y:105"
"x:460y:105"
"x:461y:105"
"x:462y:105"
"x:463y:105"
"x:464y:105"
"x:465y:105"
"x:466y:105"
"x:467y:105"
"x:468y:105"
"x:469y:105"
"x:470y:105"
"x:471y:105"
"x:472y:105"
"x:473y:105"
"x:474y:105"
"x:475y:105"
"x:476y:105"
"x:477y:105"
"x:478y:105"
"x:479y:105"
"x:480y:105"
"x:481y:105"
"x:482y:105"
"x:483y:105"
"x:484y:105"
"x:485y:105"
"x:486y:105"
"x:534y:322"
"x:548y:322"
"x:549y:322"
